county,state_id,lat,lng
Parker,TX,32.7776,-97.8051
Ector,TX,31.8692,-102.5429
Maui,HI,20.8596,-156.565
Olmsted,MN,44.0038,-92.4018
Rock,WI,42.6712,-89.0716
Catawba,NC,35.662,-81.2151
Stafford,VA,38.4207,-77.458
Fairfield,OH,39.7516,-82.6306
Citrus,FL,28.8489,-82.4794
Columbia,GA,33.5441,-82.2641
Martin,FL,27.0775,-80.4315
Hampshire,MA,42.3402,-72.6638
Portage,OH,41.1677,-81.1974
Madera,CA,37.218,-119.7627
Stearns,MN,45.5521,-94.6131
Sullivan,TN,36.5129,-82.3042
Schenectady,NY,42.8181,-74.0586
Rensselaer,NY,42.7111,-73.5097
St. Clair,MI,42.9341,-82.6806
Jackson,MI,42.2485,-84.4234
Rankin,MS,32.2641,-89.9458
Wilson,TN,36.1547,-86.2973
Mesa,CO,39.0183,-108.4664
Centre,PA,40.9189,-77.8199
Ouachita,LA,32.4784,-92.1549
Franklin,PA,39.9274,-77.7213
Alexandria,VA,38.8185,-77.0861
Johnson,IA,41.6715,-91.5881
Bibb,GA,32.8065,-83.6974
Santa Fe,NM,35.5069,-105.9763
Merrimack,NH,43.2975,-71.6802
Washington,MD,39.6036,-77.814
Monroe,MI,41.9291,-83.5394
Penobscot,ME,45.4006,-68.6495
Scott,MN,44.6485,-93.5359
Sandoval,NM,35.6886,-106.8659
Cumberland,NJ,39.3739,-75.1107
Kings,CA,36.0752,-119.8155
Berrien,MI,41.9547,-86.4123
Coweta,GA,33.3533,-84.7634
Brunswick,NC,34.0715,-78.2383
Rowan,NC,35.6394,-80.5247
Orange,NC,36.0611,-79.1207
Wright,MN,45.174,-93.963
Livingston,LA,30.4401,-90.7279
Douglas,GA,33.7019,-84.7679
Spotsylvania,VA,38.1851,-77.6561
Randolph,NC,35.7103,-79.806
Randall,TX,34.9659,-101.897
Taylor,TX,32.3015,-99.8901
Sussex,NJ,41.1393,-74.6909
Jackson,MS,30.5425,-88.6358
Coconino,AZ,35.8387,-111.7705
Lebanon,PA,40.3672,-76.4577
Schuylkill,PA,40.7058,-76.216
Sumter,FL,28.7048,-82.081
Grayson,TX,33.6268,-96.6777
Rock Island,IL,41.4673,-90.5674
Monroe,IN,39.1609,-86.5231
Warren,KY,36.9936,-86.4238
Cache,UT,41.7225,-111.7436
Boone,KY,38.9699,-84.7278
Blount,TN,35.6872,-83.9255
Harnett,NC,35.3689,-78.8693
Marathon,WI,44.8983,-89.7591
Washington,WI,43.3685,-88.2307
Kendall,IL,41.5906,-88.4288
Hampton,VA,37.0554,-76.3632
Florence,SC,34.0245,-79.703
Tangipahoa,LA,30.6266,-90.4057
Washington,TN,36.2933,-82.4974
Clark,OH,39.9167,-83.7844
Napa,CA,38.507,-122.3306
Pickens,SC,34.8873,-82.7253
Humboldt,CA,40.6993,-123.8756
Calhoun,MI,42.2465,-85.0056
Strafford,NH,43.297,-71.0288
Wood,OH,41.3617,-83.623
Madison,IN,40.1616,-85.7194
Cambria,PA,40.4951,-78.7134
Skagit,WA,48.4795,-121.729
Black Hawk,IA,42.4701,-92.3088
Linn,OR,44.4887,-122.5343
Washington,RI,41.4697,-71.6226
Ascension,LA,30.2036,-90.9113
Tazewell,IL,40.5075,-89.5135
Hunterdon,NJ,40.5673,-74.9122
